No,;Time;Source;Destination;;Time 1;Time 2;Delay;Total Delay;233,631491;;Delay 1;Delay 2;Jitter;Total Jitter;233,612306
218;98,81541100;172,20,10,6;13,69,239,73;;98,815411;98,815411;0;;;;-0,042466;0,042466;0,084932;;
219;98,81541100;172,20,10,6;13,69,239,73;;98,815411;98,857877;0,042466;;;;-0,378081;0,420547;0,798628;;
220;98,85787700;13,69,239,73;172,20,10,6;;98,857877;99,278424;0,420547;;;;0,375449;0,045098;-0,330351;;
221;99,27842400;13,69,239,73;172,20,10,6;;99,278424;99,323522;0,045098;;;;-5,977927;6,023025;12,000952;;
222;99,32352200;172,20,10,6;13,69,239,73;;99,323522;105,346547;6,023025;;;;5,989738;0,033287;-5,956451;;
230;105,34654700;172,20,10,6;103,10,124,162;;105,346547;105,379834;0,033287;;;;-4,822345;4,855632;9,677977;;
231;105,37983400;103,10,124,162;172,20,10,6;;105,379834;110,235466;4,855632;;;;-4,800023;9,655655;14,455678;;
232;110,23546600;131,253,33,203;172,20,10,6;;110,235466;119,891121;9,655655;;;;9,6052;0,050455;-9,554745;;
240;119,89112100;172,20,10,6;31,13,95,60;;119,891121;119,941576;0,050455;;;;-0,278446;0,328901;0,607347;;
241;119,94157600;31,13,95,60;172,20,10,6;;119,941576;120,270477;0,328901;;;;0,277708;0,051193;-0,226515;;
242;120,27047700;31,13,95,60;172,20,10,6;;120,270477;120,32167;0,051193;;;;-6,62646;6,677653;13,304113;;
243;120,32167000;172,20,10,6;31,13,95,60;;120,32167;126,999323;6,677653;;;;6,677477;0,000176;-6,677301;;
252;126,99932300;172,20,10,6;173,194,59,73;;126,999323;126,999499;0,000176;;;;-0,029445;0,029621;0,059066;;
253;126,99949900;172,20,10,6;173,194,59,73;;126,999499;127,02912;0,029621;;;;0,029621;0;-0,029621;;
254;127,02912000;173,194,59,73;172,20,10,6;;127,02912;127,02912;0;;;;-2,368333;2,368333;4,736666;;
255;127,02912000;173,194,59,73;172,20,10,6;;127,02912;129,397453;2,368333;;;;2,317809;0,050524;-2,267285;;
256;129,39745300;172,20,10,6;155,133,239,51;;129,397453;129,447977;0,050524;;;;-2,918152;2,968676;5,886828;;
257;129,44797700;155,133,239,51;172,20,10,6;;129,447977;132,416653;2,968676;;;;2,934112;0,034564;-2,899548;;
262;132,41665300;172,20,10,6;103,10,124,162;;132,416653;132,451217;0,034564;;;;-3,770358;3,804922;7,57528;;
263;132,45121700;103,10,124,162;172,20,10,6;;132,451217;136,256139;3,804922;;;;3,769279;0,035643;-3,733636;;
265;136,25613900;172,20,10,6;31,13,95,60;;136,256139;136,291782;0,035643;;;;-0,224682;0,260325;0,485007;;
266;136,29178200;31,13,95,60;172,20,10,6;;136,291782;136,552107;0,260325;;;;0,205621;0,054704;-0,150917;;
267;136,55210700;31,13,95,60;172,20,10,6;;136,552107;136,606811;0,054704;;;;-6,195485;6,250189;12,445674;;
268;136,60681100;172,20,10,6;31,13,95,60;;136,606811;142,857;6,250189;;;;6,219332;0,030857;-6,188475;;
269;142,85700000;172,20,10,6;13,69,239,73;;142,857;142,887857;0,030857;;;;-0,599684;0,630541;1,230225;;
270;142,88785700;13,69,239,73;172,20,10,6;;142,887857;143,518398;0,630541;;;;0,593755;0,036786;-0,556969;;
272;143,51839800;172,20,10,6;20,197,71,89;;143,518398;143,555184;0,036786;;;;0,010984;0,025802;0,014818;;
273;143,55518400;20,197,71,89;172,20,10,6;;143,555184;143,580986;0,025802;;;;-0,020192;0,045994;0,066186;;
274;143,58098600;20,197,71,89;172,20,10,6;;143,580986;143,62698;0,045994;;;;-0,609239;0,655233;1,264472;;
275;143,62698000;172,20,10,6;20,197,71,89;;143,62698;144,282213;0,655233;;;;0,62147;0,033763;-0,587707;;
277;144,28221300;172,20,10,6;13,69,239,73;;144,282213;144,315976;0,033763;;;;-6,023899;6,057662;12,081561;;
278;144,31597600;13,69,239,73;172,20,10,6;;144,315976;150,373638;6,057662;;;;5,968331;0,089331;-5,879;;
288;150,37363800;172,20,10,6;20,197,71,89;;150,373638;150,462969;0,089331;;;;0,063984;0,025347;-0,038637;;
290;150,46296900;20,197,71,89;172,20,10,6;;150,462969;150,488316;0,025347;;;;-0,028178;0,053525;0,081703;;
295;150,48831600;20,197,71,89;172,20,10,6;;150,488316;150,541841;0,053525;;;;-3,194347;3,247872;6,442219;;
